time_s,theta_ref_rad,theta_actual_rad,theta_measured_rad,tracking_error_rad,sensor_error_rad
9.5367431640625e-07,-0.9999999999999928,-0.9944430555555541,-0.98,-0.0199999999999928,0.01444305555555414
0.9802732467651367,-0.9924223458419811,-0.9943562912667248,-1.0,0.0075776541580189205,-0.005643708733275243
1.9808523654937744,-0.9691787450231596,-0.9898469836010486,-1.0,0.030821254976840406,-0.010153016398951387
2.9798524379730225,-0.9307055290307161,-0.9752213944939044,-0.9400000000000001,0.00929447096928393,0.03522139449390438
3.9807803630828857,-0.8774676597382953,-0.9414038629116152,-0.88,0.0025323402617046797,0.06140386291161515
4.980803966522217,-0.810432521062079,-0.8915093568649672,-0.86,0.04956747893792102,0.03150935686496725
5.980648517608643,-0.73063113766034,-0.827555062821934,-0.8,0.06936886233966,0.027555062821933984
6.981062650680542,-0.6392558023629445,-0.7505013298396275,-0.74,0.10074419763705544,0.010501329839627482
7.98147988319397,-0.5377903519742612,-0.6616715397525262,-0.64,0.10220964802573884,0.021671539752526225
8.981700897216797,-0.4278588437369871,-0.5623881065221389,-0.56,0.13214115626301293,0.002388106522138833
9.982715129852295,-0.3110820354294238,-0.4542727941481397,-0.44,0.1289179645705762,0.0142727941481397
10.983550310134888,-0.18941142725332155,-0.3390699073508632,-0.36,0.17058857274667844,-0.02093009264913681
11.9837965965271,-0.06482254975646591,-0.2186006539911895,-0.22,0.15517745024353408,-0.0013993460088105036
12.98413372039795,0.06080051488410288,-0.09474218915490529,-0.1,0.16080051488410288,-0.005257810845094718
13.98391580581665,0.18539553473586162,0.03071847072396132,0.0,0.18539553473586162,-0.03071847072396132
14.984538316726685,0.3071685356621024,0.1555515734047405,0.1,0.2071685356621024,-0.055551573404740484
15.985746622085571,0.42415794449488486,0.27795706656456,0.26,0.16415794449488486,-0.017957066564559976
16.986531496047974,0.534397001400244,0.3958378926167725,0.36,0.17439700140024406,-0.035837892616772504
17.98608112335205,0.6360753125040458,0.5075062904959233,0.5,0.1360753125040458,-0.007506290495923329
18.985615968704224,0.7277300836498662,0.6110563917317049,0.62,0.10773008364986625,0.0089436082682951
19.987005949020386,0.808056133123333,0.7048221462536092,0.72,0.08805613312333305,0.015177853746390801
20.98660373687744,0.8754944430052021,0.787583630162049,0.78,0.09549444300520205,-0.007583630162048993
21.986812829971313,0.929165172409816,0.8577458768922605,0.88,0.049165172409815994,0.022254123107739554
22.987091302871704,0.9681784734728413,0.9144473591207654,0.9400000000000001,0.028178473472841192,0.0255526408792347
23.98798894882202,0.991924399177043,0.9566307752509614,0.98,0.011924399177043021,0.023369224749038575
24.987863302230835,0.9999988369705217,0.9836836722156768,1.0,-1.1630294782793982e-06,0.016316327784323237
