time_s,theta_ref_rad,theta_actual_rad,error_rad
4.76837158203125e-07,-0.9999999999999982,-9.497500624843788e-07,-0.9999990502499357
1.0184710025787354,-0.9918211136755739,-0.043952149849682105,-0.9478689638258918
2.006789207458496,-0.9683706371389225,-0.09235096287539567,-0.8760196742635268
3.052157402038574,-0.9273437362435442,-0.13689965117278077,-0.7904440850707634
2.672875165939331,-0.9441195066730719,-0.18244965117363532,-0.7616698554994366
3.6495227813720703,-0.8966675869684843,-0.22879846419931055,-0.6678691227691738
4.658491373062134,-0.8334893210657386,-0.27374740195321556,-0.559741919112523
5.639074087142944,-0.7592561618568048,-0.321296090250657,-0.4379600716061478
6.68012261390686,-0.6678730487911301,-0.3661950280045611,-0.30167802078656897
7.649881362915039,-0.5724443496851455,-0.4114937163019603,-0.16095063338318516
8.638381242752075,-0.46644306919519163,-0.4580426540558215,-0.008400415139370121
9.649270057678223,-0.3506202258690137,-0.4648664254961058,0.1142461996270921
10.628644227981567,-0.23300004531613216,-0.4205804741372634,0.18758042882113124
11.61941123008728,-0.11043234825694202,-0.37403047413638996,0.2635981258794479
12.623479127883911,0.015516222177247069,-0.32808047413552777,0.34359669631277484
13.620119571685791,0.140294031185659,-0.2829304741346806,0.4232245053203396
14.61188793182373,0.2622833805354498,-0.23688047413381652,0.4991638546692663
15.610914468765259,0.381047529956289,-0.19113047413295808,0.572178004089247
16.60560655593872,0.4933402989910557,-0.14523047413209683,0.6385707731231525
17.605453968048096,0.5984542092170474,-0.09968047413124215,0.6981346833482895
18.59447145462036,0.6931527127610368,-0.053480474130375266,0.7466331868914121
19.596484422683716,0.7781849238221876,-0.007530474129513352,0.785715397951701
20.598159551620483,0.8508729979269516,0.0377695258713361,0.8131034720556155
21.598170042037964,0.9100106571036765,0.08391952587220204,0.8260911312314744
22.60895323753357,0.9551981409171764,0.1299695258730661,0.8252286150441103
23.604127645492554,0.9846549857050816,0.17636952587393673,0.8082854598311449
24.60831928253174,0.9987889378345863,0.22406952587483175,0.7747194119597546
